date,     is_holiday, role,     description, 
20000101, true,       all,      元旦,
20000102, true,       all,      週日,
20000103, false,      all,      工作日,
20000104, false,      all,      工作日,
20000105, false,      all,      工作日,
20000106, false,      all,      工作日,
20000107, false,      all,      工作日,
20000108, true,       all,      週六,
20000109, true,       all,      週日,
20000110, false,      all,      工作日,
20000111, false,      all,      工作日,
20000112, false,      all,      工作日,
20000113, false,      all,      工作日,
20000114, false,      all,      工作日,
20000115, false,      all,      工作日,
20000116, true,       all,      週日,
20000117, false,      all,      工作日,
20000118, false,      all,      工作日,
20000119, false,      all,      工作日,
20000120, false,      all,      工作日,
20000121, false,      all,      工作日,
20000122, true,       all,      週六,
20000123, true,       all,      週日,
20000124, false,      all,      工作日,
20000125, false,      all,      工作日,
20000126, false,      all,      工作日,
20000127, false,      all,      工作日,
20000128, false,      all,      工作日,
20000129, false,      all,      工作日,
20000130, true,       all,      週日,
20000131, false,      all,      工作日,
20000201, false,      all,      工作日,
20000202, false,      all,      工作日,
20000203, false,      all,      工作日,
20000204, true,       all,      除夕,
20000205, true,       all,      春節,
20000206, true,       all,      春節,
20000207, true,       all,      春節,
20000208, false,      all,      工作日,
20000209, false,      all,      工作日,
20000210, false,      all,      工作日,
20000211, false,      all,      工作日,
20000212, true,       all,      週六,
20000213, true,       all,      週日,
20000214, false,      all,      工作日,
20000215, false,      all,      工作日,
20000216, false,      all,      工作日,
20000217, false,      all,      工作日,
20000218, false,      all,      工作日,
20000219, false,      all,      工作日,
20000220, true,       all,      週日,
20000221, false,      all,      工作日,
20000222, false,      all,      工作日,
20000223, false,      all,      工作日,
20000224, false,      all,      工作日,
20000225, false,      all,      工作日,
20000226, true,       all,      週六,
20000227, true,       all,      週日,
20000228, true,       all,      和平紀念日,
20000229, false,      all,      工作日,
20000301, false,      all,      工作日,
20000302, false,      all,      工作日,
20000303, false,      all,      工作日,
20000304, false,      all,      工作日,
20000305, true,       all,      週日,
20000306, false,      all,      工作日,
20000307, false,      all,      工作日,
20000308, false,      all,      工作日,
20000309, false,      all,      工作日,
20000310, false,      all,      工作日,
20000311, true,       all,      週六,
20000312, true,       all,      週日,
20000313, false,      all,      工作日,
20000314, false,      all,      工作日,
20000315, false,      all,      工作日,
20000316, false,      all,      工作日,
20000317, false,      all,      工作日,
20000318, false,      all,      工作日,
20000319, true,       all,      週日,
20000320, false,      all,      工作日,
20000321, false,      all,      工作日,
20000322, false,      all,      工作日,
20000323, false,      all,      工作日,
20000324, false,      all,      工作日,
20000325, true,       all,      週六,
20000326, true,       all,      週日,
20000327, false,      all,      工作日,
20000328, false,      all,      工作日,
